診療科名,月,初再診区分,紹介状有無,件数
救急科,2025-05,再診,紹介状あり,3
救急科,2025-05,再診,紹介状無し,112
救急科,2025-05,初診,紹介状あり,11
救急科,2025-05,初診,紹介状無し,237
整形外科,2025-05,再診,紹介状あり,4
整形外科,2025-05,再診,紹介状無し,1535
整形外科,2025-05,初診,紹介状あり,205
整形外科,2025-05,初診,紹介状無し,19
栄養管理室,2025-05,再診,紹介状無し,1
歯科口腔外科,2025-05,再診,紹介状無し,719
歯科口腔外科,2025-05,初診,紹介状あり,159
歯科口腔外科,2025-05,初診,紹介状無し,87
泌尿器科,2025-05,再診,紹介状あり,1
泌尿器科,2025-05,再診,紹介状無し,3240
泌尿器科,2025-05,初診,紹介状あり,116
泌尿器科,2025-05,初診,紹介状無し,24
消化器内科,2025-05,再診,紹介状あり,4
消化器内科,2025-05,再診,紹介状無し,1355
消化器内科,2025-05,初診,紹介状あり,163
消化器内科,2025-05,初診,紹介状無し,7
産婦人科,2025-05,再診,紹介状あり,6
産婦人科,2025-05,再診,紹介状無し,1834
産婦人科,2025-05,初診,紹介状あり,122
産婦人科,2025-05,初診,紹介状無し,28
皮膚・排泄ケア,2025-05,再診,紹介状無し,98
皮膚科,2025-05,再診,紹介状無し,1246
皮膚科,2025-05,初診,紹介状あり,85
皮膚科,2025-05,初診,紹介状無し,24
看護部,2025-05,再診,紹介状無し,95
眼科,2025-05,再診,紹介状無し,3166
眼科,2025-05,初診,紹介状あり,221
眼科,2025-05,初診,紹介状無し,18
禁煙外来,2025-05,再診,紹介状無し,10
移行期医療支援外来,2025-05,再診,紹介状無し,1
総合内科,2025-05,再診,紹介状あり,5
総合内科,2025-05,再診,紹介状無し,1047
総合内科,2025-05,初診,紹介状あり,140
総合内科,2025-05,初診,紹介状無し,103
緩和ケアチーム,2025-05,再診,紹介状無し,37
緩和ケア内科,2025-05,再診,紹介状無し,1
耳鼻咽喉科,2025-05,再診,紹介状あり,2
耳鼻咽喉科,2025-05,再診,紹介状無し,1623
耳鼻咽喉科,2025-05,初診,紹介状あり,163
耳鼻咽喉科,2025-05,初診,紹介状無し,35
職員健康診断,2025-05,再診,紹介状無し,1464
脳神経内科,2025-05,再診,紹介状あり,1
脳神経内科,2025-05,再診,紹介状無し,455
脳神経内科,2025-05,初診,紹介状あり,59
脳神経外科,2025-05,再診,紹介状あり,1
脳神経外科,2025-05,再診,紹介状無し,181
脳神経外科,2025-05,初診,紹介状あり,34
脳神経外科,2025-05,初診,紹介状無し,9
腎内科,2025-05,再診,紹介状あり,1
腎内科,2025-05,再診,紹介状無し,694
腎内科,2025-05,初診,紹介状あり,14
腎内科,2025-05,初診,紹介状無し,1
臨床工学技師,2025-05,再診,紹介状無し,189
臨床腫瘍科,2025-05,再診,紹介状無し,133
薬剤部,2025-05,再診,紹介状無し,110
血液内科,2025-05,再診,紹介状無し,800
血液内科,2025-05,初診,紹介状あり,20
血液内科,2025-05,初診,紹介状無し,2
退院支援,2025-05,再診,紹介状無し,145
通院治療センター,2025-05,再診,紹介状無し,40
遺伝診療科,2025-05,再診,紹介状あり,4
遺伝診療科,2025-05,再診,紹介状無し,54
遺伝診療科,2025-05,初診,紹介状あり,2
遺伝診療科,2025-05,初診,紹介状無し,7
骨転移カンファレンス,2025-05,再診,紹介状無し,4
麻酔科,2025-05,再診,紹介状無し,404
ＥＳＴ(倫理相談),2025-05,再診,紹介状無し,1
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-05,再診,紹介状無し,112
