診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
メンタルケア科,DR_MN002,全体,0,4,10:00,1,5,0.2,2,35,0.4,7.0
メンタルケア科,DR_MN002,全体,0,5,10:30,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN002,全体,0,6,11:00,1,5,0.2,1,16,0.2,3.2
メンタルケア科,DR_MN002,全体,0,7,11:30,1,5,0.2,1,13,0.2,2.6
メンタルケア科,DR_MN002,全体,0,12,14:00,1,5,0.2,1,19,0.2,3.8
メンタルケア科,DR_MN002,全体,0,13,14:30,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN002,全体,0,14,15:00,1,5,0.2,1,6,0.2,1.2
メンタルケア科,DR_MN002,全体,1,8,12:00,1,4,0.25,1,26,0.25,6.5
メンタルケア科,DR_MN002,全体,1,9,12:30,1,4,0.25,1,7,0.25,1.8
メンタルケア科,DR_MN002,全体,1,12,14:00,2,4,0.5,2,10,0.5,2.5
メンタルケア科,DR_MN002,全体,1,13,14:30,3,4,0.75,4,65,1.0,16.2
メンタルケア科,DR_MN002,全体,1,14,15:00,2,4,0.5,2,31,0.5,7.8
メンタルケア科,DR_MN002,全体,1,17,16:30,1,4,0.25,1,8,0.25,2.0
メンタルケア科,DR_MN002,全体,1,18,17:00,2,4,0.5,2,48,0.5,12.0
メンタルケア科,DR_MN002,全体,1,19,17:30,3,4,0.75,3,44,0.75,11.0
メンタルケア科,DR_MN002,全体,1,20,18:00,1,4,0.25,2,26,0.5,6.5
メンタルケア科,DR_MN002,全体,2,5,10:30,1,4,0.25,1,20,0.25,5.0
メンタルケア科,DR_MN002,全体,2,6,11:00,2,4,0.5,2,32,0.5,8.0
メンタルケア科,DR_MN002,全体,2,7,11:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,全体,2,8,12:00,1,4,0.25,3,62,0.75,15.5
メンタルケア科,DR_MN002,全体,2,9,12:30,1,4,0.25,4,69,1.0,17.2
メンタルケア科,DR_MN002,全体,2,10,13:00,1,4,0.25,1,11,0.25,2.8
メンタルケア科,DR_MN002,全体,2,11,13:30,1,4,0.25,1,7,0.25,1.8
メンタルケア科,DR_MN002,全体,2,12,14:00,2,4,0.5,2,17,0.5,4.2
メンタルケア科,DR_MN002,全体,2,13,14:30,3,4,0.75,4,99,1.0,24.8
メンタルケア科,DR_MN002,全体,2,14,15:00,2,4,0.5,2,36,0.5,9.0
メンタルケア科,DR_MN002,全体,2,15,15:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,全体,2,16,16:00,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,全体,2,17,16:30,2,4,0.5,2,15,0.5,3.8
メンタルケア科,DR_MN002,全体,4,8,12:00,1,4,0.25,2,20,0.5,5.0
メンタルケア科,DR_MN002,全体,4,9,12:30,1,4,0.25,1,5,0.25,1.2
メンタルケア科,DR_MN002,全体,4,15,15:30,1,4,0.25,1,16,0.25,4.0
メンタルケア科,DR_MN002,全体,4,16,16:00,1,4,0.25,1,15,0.25,3.8
メンタルケア科,DR_MN002,初診,1,8,12:00,1,4,0.25,1,26,0.25,6.5
メンタルケア科,DR_MN002,初診,1,9,12:30,1,4,0.25,1,7,0.25,1.8
メンタルケア科,DR_MN002,再診,0,1,08:30,1,5,0.2,1,3,0.2,0.6
メンタルケア科,DR_MN002,再診,0,3,09:30,1,5,0.2,1,1,0.2,0.2
メンタルケア科,DR_MN002,再診,0,4,10:00,1,5,0.2,2,35,0.4,7.0
メンタルケア科,DR_MN002,再診,0,5,10:30,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN002,再診,0,6,11:00,1,5,0.2,1,16,0.2,3.2
メンタルケア科,DR_MN002,再診,0,7,11:30,1,5,0.2,1,13,0.2,2.6
メンタルケア科,DR_MN002,再診,0,12,14:00,1,5,0.2,1,19,0.2,3.8
メンタルケア科,DR_MN002,再診,0,13,14:30,1,5,0.2,1,30,0.2,6.0
メンタルケア科,DR_MN002,再診,0,14,15:00,1,5,0.2,1,6,0.2,1.2
メンタルケア科,DR_MN002,再診,1,12,14:00,2,4,0.5,2,10,0.5,2.5
メンタルケア科,DR_MN002,再診,1,13,14:30,3,4,0.75,4,65,1.0,16.2
メンタルケア科,DR_MN002,再診,1,14,15:00,2,4,0.5,2,31,0.5,7.8
メンタルケア科,DR_MN002,再診,1,17,16:30,1,4,0.25,1,8,0.25,2.0
メンタルケア科,DR_MN002,再診,1,18,17:00,2,4,0.5,2,48,0.5,12.0
メンタルケア科,DR_MN002,再診,1,19,17:30,3,4,0.75,3,44,0.75,11.0
メンタルケア科,DR_MN002,再診,1,20,18:00,1,4,0.25,2,26,0.5,6.5
メンタルケア科,DR_MN002,再診,2,5,10:30,1,4,0.25,1,20,0.25,5.0
メンタルケア科,DR_MN002,再診,2,6,11:00,2,4,0.5,2,32,0.5,8.0
メンタルケア科,DR_MN002,再診,2,7,11:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,再診,2,8,12:00,1,4,0.25,3,62,0.75,15.5
メンタルケア科,DR_MN002,再診,2,9,12:30,1,4,0.25,4,69,1.0,17.2
メンタルケア科,DR_MN002,再診,2,10,13:00,1,4,0.25,1,11,0.25,2.8
メンタルケア科,DR_MN002,再診,2,11,13:30,1,4,0.25,1,7,0.25,1.8
メンタルケア科,DR_MN002,再診,2,12,14:00,2,4,0.5,2,17,0.5,4.2
メンタルケア科,DR_MN002,再診,2,13,14:30,3,4,0.75,4,99,1.0,24.8
メンタルケア科,DR_MN002,再診,2,14,15:00,2,4,0.5,2,36,0.5,9.0
メンタルケア科,DR_MN002,再診,2,15,15:30,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,再診,2,16,16:00,1,4,0.25,1,30,0.25,7.5
メンタルケア科,DR_MN002,再診,2,17,16:30,2,4,0.5,2,15,0.5,3.8
メンタルケア科,DR_MN002,再診,4,8,12:00,1,4,0.25,2,20,0.5,5.0
メンタルケア科,DR_MN002,再診,4,9,12:30,1,4,0.25,1,5,0.25,1.2
メンタルケア科,DR_MN002,再診,4,15,15:30,1,4,0.25,1,16,0.25,4.0
メンタルケア科,DR_MN002,再診,4,16,16:00,1,4,0.25,1,15,0.25,3.8
メンタルケア科,DR_MN002,薬再診,0,1,08:30,1,5,0.2,1,3,0.2,0.6
