診療科名,月,初再診区分,紹介状有無,件数
循環器内科,2025-06,再診,紹介状無し,1446
循環器内科,2025-06,初診,紹介状あり,114
循環器内科,2025-06,初診,紹介状無し,28
心臓血管外科,2025-06,再診,紹介状無し,210
心臓血管外科,2025-06,初診,紹介状あり,3
感染症,2025-06,再診,紹介状無し,19
放射線治療科,2025-06,再診,紹介状無し,952
放射線治療科,2025-06,初診,紹介状あり,7
放射線診断科,2025-06,再診,紹介状無し,1
救急科,2025-06,再診,紹介状あり,5
救急科,2025-06,再診,紹介状無し,100
救急科,2025-06,初診,紹介状あり,11
救急科,2025-06,初診,紹介状無し,194
整形外科,2025-06,再診,紹介状あり,4
整形外科,2025-06,再診,紹介状無し,1675
整形外科,2025-06,初診,紹介状あり,219
整形外科,2025-06,初診,紹介状無し,15
栄養管理室,2025-06,再診,紹介状無し,1
歯科口腔外科,2025-06,再診,紹介状無し,774
歯科口腔外科,2025-06,初診,紹介状あり,188
歯科口腔外科,2025-06,初診,紹介状無し,94
泌尿器科,2025-06,再診,紹介状あり,5
泌尿器科,2025-06,再診,紹介状無し,3456
泌尿器科,2025-06,初診,紹介状あり,103
泌尿器科,2025-06,初診,紹介状無し,25
消化器内科,2025-06,再診,紹介状あり,4
消化器内科,2025-06,再診,紹介状無し,1444
消化器内科,2025-06,初診,紹介状あり,149
消化器内科,2025-06,初診,紹介状無し,14
産婦人科,2025-06,再診,紹介状あり,4
産婦人科,2025-06,再診,紹介状無し,1831
産婦人科,2025-06,初診,紹介状あり,115
産婦人科,2025-06,初診,紹介状無し,31
皮膚・排泄ケア,2025-06,再診,紹介状無し,84
皮膚科,2025-06,再診,紹介状あり,1
皮膚科,2025-06,再診,紹介状無し,1230
皮膚科,2025-06,初診,紹介状あり,89
皮膚科,2025-06,初診,紹介状無し,26
看護部,2025-06,再診,紹介状無し,113
眼科,2025-06,再診,紹介状無し,3230
眼科,2025-06,初診,紹介状あり,203
眼科,2025-06,初診,紹介状無し,20
禁煙外来,2025-06,再診,紹介状無し,8
総合内科,2025-06,再診,紹介状あり,3
総合内科,2025-06,再診,紹介状無し,1024
総合内科,2025-06,初診,紹介状あり,165
総合内科,2025-06,初診,紹介状無し,71
緩和ケアチーム,2025-06,再診,紹介状無し,34
耳鼻咽喉科,2025-06,再診,紹介状無し,1696
耳鼻咽喉科,2025-06,初診,紹介状あり,182
耳鼻咽喉科,2025-06,初診,紹介状無し,29
脳神経内科,2025-06,再診,紹介状無し,493
脳神経内科,2025-06,初診,紹介状あり,59
脳神経内科,2025-06,初診,紹介状無し,2
脳神経外科,2025-06,再診,紹介状無し,224
脳神経外科,2025-06,初診,紹介状あり,26
脳神経外科,2025-06,初診,紹介状無し,10
腎内科,2025-06,再診,紹介状無し,771
腎内科,2025-06,初診,紹介状あり,23
臨床工学技師,2025-06,再診,紹介状無し,152
臨床腫瘍科,2025-06,再診,紹介状無し,164
薬剤部,2025-06,再診,紹介状無し,142
血液内科,2025-06,再診,紹介状無し,861
血液内科,2025-06,初診,紹介状あり,32
血液内科,2025-06,初診,紹介状無し,2
退院支援,2025-06,再診,紹介状無し,153
通院治療センター,2025-06,再診,紹介状無し,63
遺伝診療科,2025-06,再診,紹介状あり,1
遺伝診療科,2025-06,再診,紹介状無し,33
遺伝診療科,2025-06,初診,紹介状あり,2
遺伝診療科,2025-06,初診,紹介状無し,8
骨転移カンファレンス,2025-06,再診,紹介状無し,8
麻酔科,2025-06,再診,紹介状無し,394
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-06,再診,紹介状無し,126
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-06,初診,紹介状あり,2
