診療科名,月,初再診区分,紹介状有無,件数
耳鼻咽喉科,2025-10,再診,紹介状無し,1781
耳鼻咽喉科,2025-10,初診,紹介状あり,162
耳鼻咽喉科,2025-10,初診,紹介状無し,39
脳神経内科,2025-10,再診,紹介状あり,2
脳神経内科,2025-10,再診,紹介状無し,549
脳神経内科,2025-10,初診,紹介状あり,58
脳神経内科,2025-10,初診,紹介状無し,2
脳神経外科,2025-10,再診,紹介状無し,223
脳神経外科,2025-10,初診,紹介状あり,15
脳神経外科,2025-10,初診,紹介状無し,9
腎内科,2025-10,再診,紹介状無し,795
腎内科,2025-10,初診,紹介状あり,24
腎内科,2025-10,初診,紹介状無し,3
臨床工学技師,2025-10,再診,紹介状無し,223
臨床腫瘍科,2025-10,再診,紹介状無し,182
臨床腫瘍科,2025-10,初診,紹介状あり,1
薬剤部,2025-10,再診,紹介状無し,160
血液内科,2025-10,再診,紹介状無し,791
血液内科,2025-10,初診,紹介状あり,30
血液内科,2025-10,初診,紹介状無し,2
退院支援,2025-10,再診,紹介状無し,161
通院治療センター,2025-10,再診,紹介状無し,47
遺伝診療科,2025-10,再診,紹介状あり,6
遺伝診療科,2025-10,再診,紹介状無し,57
遺伝診療科,2025-10,初診,紹介状あり,4
遺伝診療科,2025-10,初診,紹介状無し,11
骨転移カンファレンス,2025-10,再診,紹介状無し,7
麻酔科,2025-10,再診,紹介状無し,431
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-10,再診,紹介状無し,94
