診療科名,月,初再診区分,紹介状有無,件数
感染症,2025-07,再診,紹介状無し,32
放射線治療科,2025-07,再診,紹介状無し,1005
放射線治療科,2025-07,初診,紹介状あり,7
放射線診断科,2025-07,再診,紹介状無し,4
救急科,2025-07,再診,紹介状あり,5
救急科,2025-07,再診,紹介状無し,124
救急科,2025-07,初診,紹介状あり,9
救急科,2025-07,初診,紹介状無し,238
整形外科,2025-07,再診,紹介状あり,8
整形外科,2025-07,再診,紹介状無し,1601
整形外科,2025-07,初診,紹介状あり,197
整形外科,2025-07,初診,紹介状無し,21
歯科口腔外科,2025-07,再診,紹介状あり,2
歯科口腔外科,2025-07,再診,紹介状無し,942
歯科口腔外科,2025-07,初診,紹介状あり,174
歯科口腔外科,2025-07,初診,紹介状無し,77
泌尿器科,2025-07,再診,紹介状あり,1
泌尿器科,2025-07,再診,紹介状無し,3474
泌尿器科,2025-07,初診,紹介状あり,96
泌尿器科,2025-07,初診,紹介状無し,28
消化器内科,2025-07,再診,紹介状あり,5
消化器内科,2025-07,再診,紹介状無し,1516
消化器内科,2025-07,初診,紹介状あり,147
消化器内科,2025-07,初診,紹介状無し,11
産婦人科,2025-07,再診,紹介状あり,3
産婦人科,2025-07,再診,紹介状無し,2026
産婦人科,2025-07,初診,紹介状あり,145
産婦人科,2025-07,初診,紹介状無し,24
皮膚・排泄ケア,2025-07,再診,紹介状無し,62
皮膚科,2025-07,再診,紹介状あり,1
皮膚科,2025-07,再診,紹介状無し,1201
皮膚科,2025-07,初診,紹介状あり,93
皮膚科,2025-07,初診,紹介状無し,27
看護部,2025-07,再診,紹介状無し,127
眼科,2025-07,再診,紹介状あり,1
眼科,2025-07,再診,紹介状無し,3288
眼科,2025-07,初診,紹介状あり,199
眼科,2025-07,初診,紹介状無し,14
禁煙外来,2025-07,再診,紹介状無し,13
禁煙外来,2025-07,初診,紹介状あり,1
移行期医療支援外来,2025-07,再診,紹介状無し,1
総合内科,2025-07,再診,紹介状あり,3
総合内科,2025-07,再診,紹介状無し,1171
総合内科,2025-07,初診,紹介状あり,132
総合内科,2025-07,初診,紹介状無し,100
緩和ケアチーム,2025-07,再診,紹介状無し,35
耳鼻咽喉科,2025-07,再診,紹介状無し,2016
耳鼻咽喉科,2025-07,初診,紹介状あり,202
耳鼻咽喉科,2025-07,初診,紹介状無し,39
脳神経内科,2025-07,再診,紹介状あり,3
脳神経内科,2025-07,再診,紹介状無し,510
脳神経内科,2025-07,初診,紹介状あり,58
脳神経内科,2025-07,初診,紹介状無し,2
脳神経外科,2025-07,再診,紹介状無し,221
脳神経外科,2025-07,初診,紹介状あり,20
脳神経外科,2025-07,初診,紹介状無し,7
腎内科,2025-07,再診,紹介状あり,1
腎内科,2025-07,再診,紹介状無し,793
腎内科,2025-07,初診,紹介状あり,27
臨床工学技師,2025-07,再診,紹介状無し,147
臨床腫瘍科,2025-07,再診,紹介状無し,185
薬剤部,2025-07,再診,紹介状無し,159
血液内科,2025-07,再診,紹介状無し,823
血液内科,2025-07,初診,紹介状あり,17
血液内科,2025-07,初診,紹介状無し,1
退院支援,2025-07,再診,紹介状無し,158
通院治療センター,2025-07,再診,紹介状無し,62
遺伝診療科,2025-07,再診,紹介状無し,53
遺伝診療科,2025-07,初診,紹介状あり,1
遺伝診療科,2025-07,初診,紹介状無し,2
骨転移カンファレンス,2025-07,再診,紹介状無し,3
麻酔科,2025-07,再診,紹介状無し,423
ＥＳＴ(倫理相談),2025-07,再診,紹介状無し,1
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-07,再診,紹介状無し,127
