診療科名,予約名称,区分,曜日,bin_idx,bin_label,稼働日数,該当日数,稼働頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
メンタルケア科,SL_0255,全体,0,5,10:30,3,4,0.75,10,66,2.5,16.5
メンタルケア科,SL_0255,全体,0,6,11:00,3,4,0.75,9,83,2.25,20.8
メンタルケア科,SL_0255,全体,0,7,11:30,3,4,0.75,9,65,2.25,16.2
メンタルケア科,SL_0255,全体,0,8,12:00,3,4,0.75,6,58,1.5,14.5
メンタルケア科,SL_0255,全体,0,9,12:30,3,4,0.75,5,32,1.25,8.0
メンタルケア科,SL_0255,全体,0,13,14:30,1,4,0.25,1,18,0.25,4.5
メンタルケア科,SL_0255,再診,0,1,08:30,3,4,0.75,4,23,1.0,5.8
メンタルケア科,SL_0255,再診,0,2,09:00,3,4,0.75,8,79,2.0,19.8
メンタルケア科,SL_0255,再診,0,3,09:30,3,4,0.75,9,63,2.25,15.8
メンタルケア科,SL_0255,再診,0,4,10:00,3,4,0.75,8,66,2.0,16.5
メンタルケア科,SL_0255,再診,0,5,10:30,3,4,0.75,10,66,2.5,16.5
メンタルケア科,SL_0255,再診,0,6,11:00,3,4,0.75,9,83,2.25,20.8
メンタルケア科,SL_0255,再診,0,7,11:30,3,4,0.75,9,65,2.25,16.2
メンタルケア科,SL_0255,再診,0,8,12:00,3,4,0.75,6,58,1.5,14.5
メンタルケア科,SL_0255,再診,0,9,12:30,3,4,0.75,5,32,1.25,8.0
メンタルケア科,SL_0255,再診,0,13,14:30,1,4,0.25,1,18,0.25,4.5
メンタルケア科,SL_0255,薬再診,0,2,09:00,2,4,0.5,3,13,0.75,3.2
メンタルケア科,SL_0255,薬再診,0,3,09:30,2,4,0.5,2,6,0.5,1.5
メンタルケア科,SL_0255,薬再診,0,4,10:00,1,4,0.25,1,4,0.25,1.0
メンタルケア科,SL_0255,薬再診,0,5,10:30,1,4,0.25,1,3,0.25,0.8
メンタルケア科,SL_0255,薬再診,0,7,11:30,1,4,0.25,1,3,0.25,0.8
メンタルケア科,SL_0545,全体,3,4,10:00,1,5,0.2,1,20,0.2,4.0
メンタルケア科,SL_0545,全体,3,5,10:30,2,5,0.4,2,36,0.4,7.2
メンタルケア科,SL_0545,全体,3,6,11:00,1,5,0.2,1,3,0.2,0.6
メンタルケア科,SL_0545,再診,3,4,10:00,1,5,0.2,1,20,0.2,4.0
