診療科名,月,初再診区分,紹介状有無,件数
放射線診断科,2026-01,再診,紹介状無し,1
救急科,2026-01,再診,紹介状あり,6
救急科,2026-01,再診,紹介状無し,150
救急科,2026-01,初診,紹介状あり,10
救急科,2026-01,初診,紹介状無し,280
整形外科,2026-01,再診,紹介状あり,3
整形外科,2026-01,再診,紹介状無し,1596
整形外科,2026-01,初診,紹介状あり,208
整形外科,2026-01,初診,紹介状無し,16
歯科口腔外科,2026-01,再診,紹介状あり,1
歯科口腔外科,2026-01,再診,紹介状無し,812
歯科口腔外科,2026-01,初診,紹介状あり,144
歯科口腔外科,2026-01,初診,紹介状無し,70
泌尿器科,2026-01,再診,紹介状あり,4
泌尿器科,2026-01,再診,紹介状無し,3341
泌尿器科,2026-01,初診,紹介状あり,90
泌尿器科,2026-01,初診,紹介状無し,18
消化器内科,2026-01,再診,紹介状あり,3
消化器内科,2026-01,再診,紹介状無し,1423
消化器内科,2026-01,初診,紹介状あり,161
消化器内科,2026-01,初診,紹介状無し,8
産婦人科,2026-01,再診,紹介状あり,6
産婦人科,2026-01,再診,紹介状無し,1756
産婦人科,2026-01,初診,紹介状あり,117
産婦人科,2026-01,初診,紹介状無し,36
皮膚・排泄ケア,2026-01,再診,紹介状無し,48
皮膚科,2026-01,再診,紹介状あり,1
皮膚科,2026-01,再診,紹介状無し,1104
皮膚科,2026-01,初診,紹介状あり,64
皮膚科,2026-01,初診,紹介状無し,23
看護部,2026-01,再診,紹介状無し,122
眼科,2026-01,再診,紹介状あり,1
眼科,2026-01,再診,紹介状無し,3098
眼科,2026-01,初診,紹介状あり,208
眼科,2026-01,初診,紹介状無し,14
禁煙外来,2026-01,再診,紹介状無し,7
総合内科,2026-01,再診,紹介状あり,6
総合内科,2026-01,再診,紹介状無し,967
総合内科,2026-01,初診,紹介状あり,99
総合内科,2026-01,初診,紹介状無し,81
緩和ケアチーム,2026-01,再診,紹介状無し,30
緩和ケア内科,2026-01,再診,紹介状無し,2
耳鼻咽喉科,2026-01,再診,紹介状無し,1689
耳鼻咽喉科,2026-01,初診,紹介状あり,128
耳鼻咽喉科,2026-01,初診,紹介状無し,25
脳神経内科,2026-01,再診,紹介状あり,1
脳神経内科,2026-01,再診,紹介状無し,491
脳神経内科,2026-01,初診,紹介状あり,50
脳神経内科,2026-01,初診,紹介状無し,3
脳神経外科,2026-01,再診,紹介状あり,2
脳神経外科,2026-01,再診,紹介状無し,183
脳神経外科,2026-01,初診,紹介状あり,19
脳神経外科,2026-01,初診,紹介状無し,10
腎内科,2026-01,再診,紹介状あり,1
腎内科,2026-01,再診,紹介状無し,771
腎内科,2026-01,初診,紹介状あり,21
腎内科,2026-01,初診,紹介状無し,1
臨床工学技師,2026-01,再診,紹介状無し,246
臨床腫瘍科,2026-01,再診,紹介状無し,206
臨床腫瘍科,2026-01,初診,紹介状無し,1
薬剤部,2026-01,再診,紹介状無し,152
血液内科,2026-01,再診,紹介状あり,1
血液内科,2026-01,再診,紹介状無し,750
血液内科,2026-01,初診,紹介状あり,14
血液内科,2026-01,初診,紹介状無し,2
退院支援,2026-01,再診,紹介状無し,147
通院治療センター,2026-01,再診,紹介状無し,54
遺伝診療科,2026-01,再診,紹介状あり,1
遺伝診療科,2026-01,再診,紹介状無し,48
遺伝診療科,2026-01,初診,紹介状あり,2
遺伝診療科,2026-01,初診,紹介状無し,2
骨転移カンファレンス,2026-01,再診,紹介状無し,7
麻酔科,2026-01,再診,紹介状無し,404
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-01,再診,紹介状無し,100
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2026-01,初診,紹介状あり,2
