診療科名,月,初再診区分,紹介状有無,件数
産婦人科,2025-08,再診,紹介状無し,1798
産婦人科,2025-08,初診,紹介状あり,122
産婦人科,2025-08,初診,紹介状無し,41
皮膚・排泄ケア,2025-08,再診,紹介状無し,73
皮膚科,2025-08,再診,紹介状無し,1104
皮膚科,2025-08,初診,紹介状あり,84
皮膚科,2025-08,初診,紹介状無し,20
看護部,2025-08,再診,紹介状無し,107
眼科,2025-08,再診,紹介状あり,1
眼科,2025-08,再診,紹介状無し,2908
眼科,2025-08,初診,紹介状あり,155
眼科,2025-08,初診,紹介状無し,13
禁煙外来,2025-08,再診,紹介状無し,9
移行期医療支援外来,2025-08,再診,紹介状無し,1
総合内科,2025-08,再診,紹介状あり,2
総合内科,2025-08,再診,紹介状無し,1033
総合内科,2025-08,初診,紹介状あり,119
総合内科,2025-08,初診,紹介状無し,74
緩和ケアチーム,2025-08,再診,紹介状無し,23
耳鼻咽喉科,2025-08,再診,紹介状あり,2
耳鼻咽喉科,2025-08,再診,紹介状無し,1575
耳鼻咽喉科,2025-08,初診,紹介状あり,142
耳鼻咽喉科,2025-08,初診,紹介状無し,39
脳神経内科,2025-08,再診,紹介状無し,391
脳神経内科,2025-08,初診,紹介状あり,42
脳神経内科,2025-08,初診,紹介状無し,1
脳神経外科,2025-08,再診,紹介状あり,1
脳神経外科,2025-08,再診,紹介状無し,171
脳神経外科,2025-08,初診,紹介状あり,27
脳神経外科,2025-08,初診,紹介状無し,5
腎内科,2025-08,再診,紹介状無し,749
腎内科,2025-08,初診,紹介状あり,24
臨床工学技師,2025-08,再診,紹介状無し,237
臨床腫瘍科,2025-08,再診,紹介状無し,132
薬剤部,2025-08,再診,紹介状無し,151
血液内科,2025-08,再診,紹介状あり,1
血液内科,2025-08,再診,紹介状無し,798
血液内科,2025-08,初診,紹介状あり,16
退院支援,2025-08,再診,紹介状無し,151
通院治療センター,2025-08,再診,紹介状無し,40
遺伝診療科,2025-08,再診,紹介状あり,6
遺伝診療科,2025-08,再診,紹介状無し,45
遺伝診療科,2025-08,初診,紹介状あり,3
遺伝診療科,2025-08,初診,紹介状無し,7
骨転移カンファレンス,2025-08,再診,紹介状無し,7
麻酔科,2025-08,再診,紹介状無し,376
ＥＳＴ(倫理相談),2025-08,再診,紹介状無し,1
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-08,再診,紹介状無し,84
ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,2025-08,初診,紹介状あり,2
